"inf2death"
1.3e-06
4.25e-05
0.0002286
0.0007811
0.0019284
0.003808
0.0064709
0.0099405
0.0140458
0.0186132
0.0234308
0.0281585
0.0327993
0.0367371
0.0402502
0.0431422
0.0450086
0.0463019
0.0470288
0.0466678
0.0459662
0.0444947
0.0428173
0.0408481
0.0385647
0.0359808
0.0333518
0.0308189
0.028139
0.0255677
0.0231206
0.020783
0.0186044
0.016531
0.0145487
0.0130146
0.0113813
0.0099255
0.0086952
0.0075301
0.0064709
0.0056318
0.0048089
0.0041819
0.0035421
0.003041
0.0025729
0.0022184
0.0018534
0.0015667
0.0013203
0.0011176
0.000925
0.0007994
0.0006565
0.0005659
0.000453
0.0003807
0.0003245
0.0002616
0.0002165
0.0001826
0.0001466
0.0001171
9.91e-05
7.94e-05
7.13e-05
5.87e-05
4.91e-05
4.04e-05
3.34e-05
2.72e-05
2.38e-05
1.57e-05
1.49e-05
1.18e-05
8.8e-06
8.3e-06
6.8e-06
5.2e-06
4.7e-06
2.4e-06
2.5e-06
3e-06
1.6e-06
1.1e-06
1.5e-06
1.3e-06
7e-07
5e-07
4e-07
1e-07
1e-07
4e-07
3e-07
3e-07
2e-07
2e-07
2e-07
1e-07
1e-07
