"si"
0.0183261824523828
0.0665923069549799
0.10191389126982
0.11771677925845
0.118385594423979
0.1096347062151
0.0961232167086675
0.0810548507317702
0.0663831287123142
0.053148956497981
0.0417894990491873
0.0323750573522434
0.0247742309894593
0.0187612758047075
0.0140813981461474
0.0104874277075941
0.00775805851929147
0.00570485456734871
0.00417284495185088
0.00303779925570447
0.00220207207827872
0.00159010774803958
0.00114418671426919
0.000820682873170498
0.000586918953808025
0.000418607884427492
0.000297819806188371
0.000211396110753381
0.000149730189133779
0.000105841261787254
7.4677840955495e-05
5.25983179138213e-05
3.69864509106588e-05
2.59685201488002e-05
1.82064265847881e-05
1.27470903972249e-05
8.91331245966854e-06
6.22499658997634e-06
4.34249018810284e-06
3.02596564560886e-06
2.10638769937432e-06
1.46481847063118e-06
1.01770269167467e-06
7.06429240437957e-07
4.89942092563035e-07
3.39520272563121e-07
2.35096949685598e-07
1.62668352343687e-07
1.12472796187646e-07
7.77128786877413e-08
5.36601084677458e-08
3.70283537165506e-08
2.55359592360449e-08
1.76000896079387e-08
1.21236100047994e-08
8.34665303539596e-09
5.74334002578781e-09
3.94999455366474e-09
2.71528766138118e-09
1.86564841353487e-09
1.28128341270184e-09
8.79566308675806e-10
6.03539995758241e-10
4.13964973411396e-10
2.83822632063391e-10
1.94518623430895e-10
1.33263733381739e-10
9.12647735162865e-11
6.248002115683e-11
4.27590185481108e-11
2.92530444312433e-11
2.00064409483502e-11
1.36783917525918e-11
9.34896604576353e-12
6.38800123908824e-12
4.36350955368426e-12
2.97972757579146e-12
2.03426164802067e-12
1.38844491459622e-12
9.4746432921511e-13
6.46260822634305e-13
4.40758540776188e-13
3.00426350463567e-13
2.04947170345804e-13
1.39555034195382e-13
9.5146113210376e-14
6.47260023356467e-14
4.41868763800813e-14
3.00870439673417e-14
2.04281036531029e-14
1.38777878078145e-14
9.54791801177636e-15
6.43929354282592e-15
4.32986979603812e-15
2.99760216648792e-15
1.99840144432528e-15
1.4432899320127e-15
8.88178419700126e-16
6.66133814775095e-16
4.44089209850064e-16
